       r    i inwind 
2.48e+13    0     -1 
2.60e+13    1      0 
2.73e+13    2      0 
2.86e+13    3      0 
3.01e+13    4      0 
3.16e+13    5      0 
3.31e+13    6      0 
3.48e+13    7      0 
3.65e+13    8      0 
3.83e+13    9      0 
4.02e+13   10      0 
4.22e+13   11      0 
4.43e+13   12      0 
4.65e+13   13      0 
4.88e+13   14      0 
5.13e+13   15      0 
5.38e+13   16      0 
5.65e+13   17      0 
5.93e+13   18      0 
6.23e+13   19      0 
6.54e+13   20      0 
6.86e+13   21      0 
7.20e+13   22      0 
7.56e+13   23      0 
7.94e+13   24      0 
8.33e+13   25      0 
8.75e+13   26      0 
9.18e+13   27      0 
9.64e+13   28      0 
1.01e+14   29      0 
1.06e+14   30      0 
1.11e+14   31      0 
1.17e+14   32      0 
1.23e+14   33      0 
1.29e+14   34      0 
1.35e+14   35      0 
1.42e+14   36      0 
1.49e+14   37      0 
1.57e+14   38      0 
1.64e+14   39      0 
1.73e+14   40      0 
1.81e+14   41      0 
1.90e+14   42      0 
2.00e+14   43      0 
2.10e+14   44      0 
2.20e+14   45      0 
2.31e+14   46      0 
2.42e+14   47      0 
2.55e+14   48      0 
2.67e+14   49      0 
2.80e+14   50      0 
2.94e+14   51      0 
3.09e+14   52      0 
3.24e+14   53      0 
3.41e+14   54      0 
3.58e+14   55      0 
3.75e+14   56      0 
3.94e+14   57      0 
4.14e+14   58      0 
4.34e+14   59      0 
4.56e+14   60      0 
4.78e+14   61      0 
5.02e+14   62      0 
5.27e+14   63      0 
5.53e+14   64      0 
5.81e+14   65      0 
6.10e+14   66      0 
6.40e+14   67      0 
6.72e+14   68     -1 
7.06e+14   69     -1 
