  i            r          v_r          rho          t_e          t_r
--- ------------ ------------ ------------ ------------ ------------
  0 3.667632e+12 5.177911e+07 0.000000e+00 0.000000e+00 0.000000e+00
  1 3.869505e+12 3.925683e+08 1.302040e-11 5.246384e+00 5.829316e+00
  2 4.082491e+12 9.109993e+08 1.239816e-11 5.235055e+00 5.816728e+00
  3 4.307199e+12 1.545078e+09 1.171437e-11 5.223722e+00 5.804136e+00
  4 4.544276e+12 2.198679e+09 1.096387e-11 5.212270e+00 5.791411e+00
  5 4.794401e+12 2.842677e+09 1.022267e-11 5.200670e+00 5.778522e+00
  6 5.058295e+12 3.457514e+09 9.547122e-12 5.189278e+00 5.765865e+00
  7 5.336713e+12 4.037258e+09 8.962932e-12 5.178122e+00 5.753468e+00
  8 5.630456e+12 4.615610e+09 8.479394e-12 5.166610e+00 5.740678e+00
  9 5.940368e+12 5.189710e+09 8.013695e-12 5.155673e+00 5.728525e+00
 10 6.267337e+12 5.720639e+09 7.591374e-12 5.144654e+00 5.716282e+00
 11 6.612304e+12 6.187269e+09 7.207466e-12 5.134063e+00 5.704514e+00
 12 6.976258e+12 6.619637e+09 6.844408e-12 5.123607e+00 5.692896e+00
 13 7.360245e+12 6.969542e+09 6.510846e-12 5.112458e+00 5.680509e+00
 14 7.765367e+12 7.262540e+09 6.208487e-12 5.101165e+00 5.667961e+00
 15 8.192788e+12 7.529034e+09 5.939000e-12 5.090331e+00 5.655923e+00
 16 8.643735e+12 7.754814e+09 5.701545e-12 5.079310e+00 5.643678e+00
 17 9.119503e+12 7.924840e+09 5.488824e-12 5.068117e+00 5.631241e+00
 18 9.621459e+12 8.063808e+09 5.294877e-12 5.057114e+00 5.619015e+00
 19 1.015104e+13 8.169860e+09 5.111577e-12 5.046257e+00 5.606952e+00
 20 1.070978e+13 8.224825e+09 4.932795e-12 5.034906e+00 5.594340e+00
 21 1.129926e+13 8.231245e+09 4.765185e-12 5.023482e+00 5.581647e+00
 22 1.192120e+13 8.201467e+09 4.604951e-12 5.012449e+00 5.569388e+00
 23 1.257736e+13 8.134886e+09 4.457033e-12 5.001524e+00 5.557249e+00
 24 1.326965e+13 8.023112e+09 4.318739e-12 4.990300e+00 5.544778e+00
 25 1.400003e+13 7.874615e+09 4.171349e-12 4.979598e+00 5.532887e+00
 26 1.477062e+13 7.700420e+09 4.024769e-12 4.969625e+00 5.521805e+00
 27 1.558363e+13 7.493480e+09 3.873365e-12 4.959182e+00 5.510202e+00
 28 1.644138e+13 7.254312e+09 3.716690e-12 4.948960e+00 5.498844e+00
 29 1.734634e+13 7.007958e+09 3.561703e-12 4.939585e+00 5.488428e+00
 30 1.830112e+13 6.732291e+09 3.411129e-12 4.929340e+00 5.477045e+00
 31 1.930845e+13 6.442570e+09 3.266858e-12 4.919430e+00 5.466033e+00
 32 2.037123e+13 6.153954e+09 3.130489e-12 4.909438e+00 5.454931e+00
 33 2.149250e+13 5.840827e+09 3.003137e-12 4.899506e+00 5.443895e+00
 34 2.267549e+13 5.546562e+09 2.880802e-12 4.889791e+00 5.433102e+00
 35 2.392359e+13 5.239610e+09 2.760905e-12 4.879394e+00 5.421549e+00
