        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
3.550e+12    0     -1        0  5.14e+06  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
3.726e+12    1      0        0  2.43e+08  0.00e+00  0.00e+00  9.43e-04 -1.52e-14  8.78e-04  0.00e+00  6.52e-05  0.00e+00  8.78e-04 -1.52e-14  9.43e-04  2.53e-03  2.29e-03  1.00e+00  1.00e+05 
3.911e+12    2      0        0  6.68e+08  0.00e+00  0.00e+00  1.38e-03 -3.00e-13  1.20e-03  0.00e+00  1.71e-04  0.00e+00  1.20e-03 -3.00e-13  1.38e-03  3.34e-03  2.87e-03  1.00e+00  1.00e+05 
4.106e+12    3      0        0  1.23e+09  0.00e+00  0.00e+00  1.59e-03 -1.77e-12  1.29e-03  0.00e+00  2.99e-04  0.00e+00  1.29e-03 -1.77e-12  1.59e-03  3.61e-03  2.89e-03  1.00e+00  1.00e+05 
4.310e+12    4      0        0  1.82e+09  0.00e+00  0.00e+00  1.62e-03 -5.49e-12  1.20e-03  0.00e+00  4.22e-04  0.00e+00  1.20e-03 -5.49e-12  1.62e-03  3.70e-03  2.83e-03  1.00e+00  1.00e+05 
4.525e+12    5      0        0  2.40e+09  0.00e+00  0.00e+00  1.60e-03 -1.22e-11  1.06e-03  0.00e+00  5.33e-04  0.00e+00  1.06e-03 -1.22e-11  1.60e-03  3.74e-03  2.68e-03  1.00e+00  1.00e+05 
4.750e+12    6      0        0  2.98e+09  0.00e+00  0.00e+00  1.56e-03 -2.23e-11  9.24e-04  0.00e+00  6.31e-04  0.00e+00  9.24e-04 -2.23e-11  1.56e-03  3.73e-03  2.51e-03  1.00e+00  1.00e+05 
4.986e+12    7      0        0  3.55e+09  0.00e+00  0.00e+00  1.48e-03 -3.58e-11  7.67e-04  0.00e+00  7.16e-04  0.00e+00  7.67e-04 -3.58e-11  1.48e-03  3.62e-03  2.29e-03  1.01e+00  1.00e+05 
5.234e+12    8      0        0  4.07e+09  0.00e+00  0.00e+00  1.43e-03 -5.20e-11  6.42e-04  0.00e+00  7.85e-04  0.00e+00  6.42e-04 -5.20e-11  1.43e-03  3.65e-03  2.11e-03  1.01e+00  1.00e+05 
5.495e+12    9      0        0  4.60e+09  0.00e+00  0.00e+00  1.40e-03 -7.17e-11  5.54e-04  0.00e+00  8.47e-04  0.00e+00  5.54e-04 -7.17e-11  1.40e-03  3.64e-03  2.01e-03  1.01e+00  1.00e+05 
5.768e+12   10      0        0  5.12e+09  0.00e+00  0.00e+00  1.36e-03 -9.47e-11  4.62e-04  0.00e+00  9.00e-04  0.00e+00  4.62e-04 -9.47e-11  1.36e-03  3.60e-03  1.88e-03  1.01e+00  1.00e+05 
6.055e+12   11      0        0  5.62e+09  0.00e+00  0.00e+00  1.27e-03 -1.21e-10  3.24e-04  0.00e+00  9.45e-04  0.00e+00  3.24e-04 -1.21e-10  1.27e-03  3.35e-03  1.66e-03  1.02e+00  1.00e+05 
