 i            r          v_r          rho          t_e          t_r
-- ------------ ------------ ------------ ------------ ------------
 0 4.544276e+12 1.192190e+08 0.000000e+00 0.000000e+00 0.000000e+00
 1 4.794401e+12 3.595016e+08 1.172420e-12 5.143912e+00 5.715457e+00
 2 5.058295e+12 6.463426e+08 1.042378e-12 5.132856e+00 5.703173e+00
 3 5.336713e+12 1.013744e+09 9.216874e-13 5.122530e+00 5.691700e+00
 4 5.630456e+12 1.445255e+09 8.136077e-13 5.112256e+00 5.680285e+00
 5 5.940368e+12 1.958461e+09 7.162904e-13 5.101482e+00 5.668314e+00
 6 6.267337e+12 2.588202e+09 6.358237e-13 5.090939e+00 5.656598e+00
 7 6.612304e+12 3.341795e+09 5.717882e-13 5.081082e+00 5.645647e+00
 8 6.976258e+12 4.170526e+09 5.220842e-13 5.071284e+00 5.634760e+00
 9 7.360245e+12 4.926565e+09 4.843832e-13 5.061225e+00 5.623584e+00
10 7.765367e+12 5.659940e+09 4.558054e-13 5.052111e+00 5.613457e+00
11 8.192788e+12 6.380293e+09 4.354098e-13 5.042740e+00 5.603044e+00
12 8.643735e+12 7.031752e+09 4.223404e-13 5.033251e+00 5.592501e+00
13 9.119503e+12 7.668252e+09 4.154386e-13 5.024476e+00 5.582751e+00
14 9.621459e+12 8.349154e+09 4.142302e-13 5.015943e+00 5.573270e+00
15 1.015104e+13 8.972579e+09 4.195721e-13 5.006434e+00 5.562705e+00
16 1.070978e+13 9.514173e+09 4.313236e-13 4.996813e+00 5.552014e+00
17 1.129926e+13 1.005399e+10 4.472397e-13 4.988133e+00 5.542370e+00
18 1.192120e+13 1.063134e+10 4.684561e-13 4.979974e+00 5.533305e+00
19 1.257736e+13 1.111218e+10 4.942143e-13 4.970111e+00 5.522346e+00
20 1.326965e+13 1.151061e+10 5.208880e-13 4.958991e+00 5.509990e+00
21 1.400003e+13 1.195936e+10 5.491292e-13 4.950566e+00 5.500629e+00
22 1.477062e+13 1.240392e+10 5.771402e-13 4.942204e+00 5.491337e+00
23 1.558363e+13 1.273044e+10 6.042361e-13 4.931410e+00 5.479345e+00
24 1.644138e+13 1.303431e+10 6.293089e-13 4.920839e+00 5.467599e+00
25 1.734634e+13 1.336466e+10 6.514659e-13 4.912292e+00 5.458102e+00
26 1.830112e+13 1.365129e+10 6.700241e-13 4.903354e+00 5.448172e+00
27 1.930845e+13 1.386814e+10 6.854462e-13 4.892431e+00 5.436034e+00
28 2.037123e+13 1.406372e+10 6.975089e-13 4.882499e+00 5.424999e+00
29 2.149250e+13 1.425680e+10 7.053276e-13 4.873549e+00 5.415055e+00
30 2.267549e+13 1.437822e+10 7.098729e-13 4.863650e+00 5.404055e+00
31 2.392359e+13 1.446934e+10 7.115984e-13 4.853068e+00 5.392298e+00
32 2.524039e+13 1.453901e+10 7.100116e-13 4.843892e+00 5.382102e+00
33 2.662967e+13 1.455571e+10 7.055674e-13 4.834350e+00 5.371500e+00
34 2.809542e+13 1.452519e+10 6.987843e-13 4.823997e+00 5.359997e+00
35 2.964185e+13 1.447181e+10 6.895851e-13 4.813535e+00 5.348373e+00
36 3.127339e+13 1.434989e+10 6.775411e-13 4.803407e+00 5.337119e+00
37 3.299474e+13 1.417255e+10 6.630757e-13 4.792483e+00 5.324981e+00
38 3.481084e+13 1.395123e+10 6.468645e-13 4.781045e+00 5.312273e+00
39 3.672690e+13 1.366455e+10 6.293603e-13 4.769681e+00 5.299646e+00
40 3.874842e+13 1.332704e+10 6.107769e-13 4.757777e+00 5.286418e+00
41 4.088120e+13 1.294682e+10 5.912118e-13 4.744878e+00 5.272086e+00
42 4.313139e+13 1.254715e+10 5.708904e-13 4.732326e+00 5.258140e+00
43 4.550542e+13 1.212595e+10 5.488485e-13 4.719080e+00 5.243422e+00
44 4.801013e+13 1.167872e+10 5.252484e-13 4.705863e+00 5.228737e+00
45 5.065270e+13 1.124599e+10 5.013072e-13 4.692215e+00 5.213572e+00
46 5.344072e+13 1.080095e+10 4.773610e-13 4.677349e+00 5.197054e+00
47 5.638221e+13 1.037420e+10 4.524522e-13 4.663271e+00 5.181413e+00
48 5.948559e+13 9.974884e+09 4.278843e-13 4.649472e+00 5.166080e+00
49 6.275980e+13 9.580364e+09 4.039018e-13 4.635218e+00 5.150242e+00
50 6.621422e+13 9.199374e+09 3.800998e-13 4.621161e+00 5.134624e+00
51 6.985878e+13 8.835913e+09 3.567331e-13 4.607869e+00 5.119855e+00
52 7.370394e+13 8.487245e+09 3.342950e-13 4.594566e+00 5.105073e+00
53 7.776075e+13 8.147776e+09 3.128318e-13 4.581838e+00 5.090931e+00
54 8.204086e+13 7.822446e+09 2.921528e-13 4.569808e+00 5.077564e+00
55 8.655655e+13 7.517181e+09 2.723832e-13 4.558588e+00 5.065098e+00
56 9.132079e+13 7.225371e+09 2.536771e-13 4.548292e+00 5.053658e+00
57 9.634727e+13 6.954823e+09 2.359779e-13 4.538391e+00 5.042657e+00
58 1.016504e+14 6.698576e+09 2.198224e-13 4.528593e+00 5.031771e+00
59 1.072454e+14 6.449817e+09 2.044427e-13 4.519719e+00 5.021910e+00
60 1.131484e+14 6.220273e+09 1.898530e-13 4.511544e+00 5.012827e+00
61 1.193764e+14 6.012797e+09 1.766416e-13 4.503365e+00 5.003739e+00
62 1.259471e+14 5.817650e+09 1.644346e-13 4.495313e+00 4.994792e+00
