        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_old  cool_tot      ntot        ip    nioniz      gain macro_bf_in macro_bf_out 
7.004e+12    0     -1        0  2.65e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.353e+12    1      0        0  7.50e+08  0.00e+00  0.00e+00  2.61e+38  1.94e-13  9.96e+10  9.42e+05  9.41e+05  5.74e+01 -1.41e+02  9.66e+05  9.65e+05  4.52e-01  9.81e+41  9.81e+41  9.81e+41  3.86e+06  9.98e+07  3.86e+06  4.90e-01  0.00e+00  0.00e+00 
7.719e+12    2      0        0  1.26e+09  0.00e+00  0.00e+00  3.02e+38  1.78e-13  9.13e+10  9.22e+05  9.22e+05  2.61e+02 -5.34e+02  9.49e+05  9.49e+05  3.95e-01  8.31e+41  8.31e+41  8.31e+41  3.83e+06  9.05e+07  3.83e+06  4.90e-01  0.00e+00  0.00e+00 
8.103e+12    3      0        0  1.73e+09  0.00e+00  0.00e+00  3.50e+38  1.63e-13  8.38e+10  9.04e+05  9.04e+05 -3.24e+02 -3.00e+02  9.33e+05  9.32e+05  3.57e-01  7.30e+41  7.30e+41  7.30e+41  3.81e+06  8.46e+07  3.81e+06  9.99e-01  0.00e+00  0.00e+00 
8.506e+12    4      0        0  2.21e+09  0.00e+00  0.00e+00  4.06e+38  1.51e-13  7.72e+10  8.87e+05  8.86e+05 -5.21e+02  3.43e+02  9.17e+05  9.16e+05  3.25e-01  6.51e+41  6.51e+41  6.51e+41  3.80e+06  7.98e+07  3.79e+06  9.99e-01  0.00e+00  0.00e+00 
8.929e+12    5      0        0  2.68e+09  0.00e+00  0.00e+00  4.70e+38  1.39e-13  7.13e+10  8.70e+05  8.69e+05 -2.51e+02  3.39e+02  9.02e+05  9.01e+05  2.99e-01  5.87e+41  5.87e+41  5.87e+41  3.78e+06  7.56e+07  3.78e+06  6.99e-01  0.00e+00  0.00e+00 
9.373e+12    6      0        0  3.10e+09  0.00e+00  0.00e+00  5.44e+38  1.29e-13  6.63e+10  8.53e+05  8.53e+05 -4.46e+02  9.36e+01  8.87e+05  8.86e+05  2.76e-01  5.35e+41  5.35e+41  5.35e+41  3.77e+06  7.15e+07  3.77e+06  9.99e-01  0.00e+00  0.00e+00 
9.839e+12    7      0        0  3.54e+09  0.00e+00  0.00e+00  6.31e+38  1.20e-13  6.17e+10  8.36e+05  8.36e+05 -3.63e+02  3.30e+01  8.71e+05  8.71e+05  2.57e-01  4.90e+41  4.90e+41  4.90e+41  3.76e+06  6.78e+07  3.76e+06  9.99e-01  0.00e+00  0.00e+00 
1.033e+13    8      0        0  3.99e+09  0.00e+00  0.00e+00  7.31e+38  1.12e-13  5.74e+10  8.19e+05  8.19e+05 -2.50e+02  1.17e+02  8.56e+05  8.55e+05  2.39e-01  4.49e+41  4.49e+41  4.49e+41  3.75e+06  6.44e+07  3.75e+06  9.99e-01  0.00e+00  0.00e+00 
1.084e+13    9      0        0  4.46e+09  0.00e+00  0.00e+00  8.48e+38  1.05e-13  5.36e+10  8.02e+05  8.01e+05 -5.36e+02  4.13e+02  8.40e+05  8.40e+05  2.24e-01  4.14e+41  4.14e+41  4.14e+41  3.75e+06  6.12e+07  3.74e+06  9.99e-01  0.00e+00  0.00e+00 
