        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
7.004e+12 7.179e+12    0     -1        0  2.65e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
7.353e+12 7.536e+12    1      0        0  7.50e+08  0.00e+00  0.00e+00  2.61e+38  1.94e-13  9.96e+10  9.42e+05  9.66e+05  1.20e-12  3.40e-12  0.00e+00  0.00e+00  1.00e-20 -2.16e+34 -4.02e+32 -1.52e+34  9.98e+07  3.86e+06  0.00e+00  3.86e+06 
7.719e+12 7.911e+12    2      0        0  1.26e+09  0.00e+00  0.00e+00  3.02e+38  1.78e-13  9.13e+10  9.22e+05  9.49e+05  1.15e-12  3.52e-12  0.00e+00  0.00e+00  1.00e-20 -1.92e+34  4.68e+32 -1.20e+34  9.05e+07  3.83e+06  0.00e+00  3.83e+06 
8.103e+12 8.304e+12    3      0        0  1.73e+09  0.00e+00  0.00e+00  3.50e+38  1.63e-13  8.38e+10  9.04e+05  9.33e+05  1.11e-12  3.11e-12  0.00e+00  0.00e+00  1.00e-20 -2.06e+34  1.62e+32 -1.31e+34  8.46e+07  3.81e+06  0.00e+00  3.81e+06 
8.506e+12 8.717e+12    4      0        0  2.21e+09  0.00e+00  0.00e+00  4.06e+38  1.51e-13  7.72e+10  8.87e+05  9.17e+05  3.25e-13  2.18e-12  0.00e+00  0.00e+00  1.00e-20 -1.97e+34  3.63e+32 -1.15e+34  7.98e+07  3.80e+06  0.00e+00  3.79e+06 
8.929e+12 9.151e+12    5      0        0  2.68e+09  0.00e+00  0.00e+00  4.70e+38  1.39e-13  7.13e+10  8.70e+05  9.02e+05  1.02e-12  3.84e-12  0.00e+00  0.00e+00  1.00e-20 -1.93e+34 -9.56e+32 -1.22e+34  7.56e+07  3.78e+06  0.00e+00  3.78e+06 
9.373e+12 9.606e+12    6      0        0  3.10e+09  0.00e+00  0.00e+00  5.44e+38  1.29e-13  6.63e+10  8.53e+05  8.87e+05  4.69e-13  2.38e-12  0.00e+00  0.00e+00  1.00e-20 -1.86e+34 -9.76e+32 -1.19e+34  7.15e+07  3.77e+06  0.00e+00  3.77e+06 
9.839e+12 1.008e+13    7      0        0  3.54e+09  0.00e+00  0.00e+00  6.31e+38  1.20e-13  6.17e+10  8.36e+05  8.71e+05  8.26e-13  1.79e-12  0.00e+00  0.00e+00  1.00e-20 -1.67e+34 -3.66e+32 -1.08e+34  6.78e+07  3.76e+06  0.00e+00  3.76e+06 
1.033e+13 1.059e+13    8      0        0  3.99e+09  0.00e+00  0.00e+00  7.31e+38  1.12e-13  5.74e+10  8.19e+05  8.56e+05  5.72e-13  1.71e-12  0.00e+00  0.00e+00  1.00e-20 -1.69e+34 -8.70e+32 -1.07e+34  6.44e+07  3.75e+06  0.00e+00  3.75e+06 
1.084e+13 1.111e+13    9      0        0  4.46e+09  0.00e+00  0.00e+00  8.48e+38  1.05e-13  5.36e+10  8.02e+05  8.40e+05  4.57e-13  2.01e-12  0.00e+00  0.00e+00  1.00e-20 -1.66e+34  2.32e+31 -1.00e+34  6.12e+07  3.75e+06  0.00e+00  3.74e+06 
1.138e+13 1.167e+13   10      0        0  4.90e+09  0.00e+00  0.00e+00  9.83e+38  9.85e-14  5.05e+10  7.85e+05  8.25e+05  2.92e-13  1.29e-12  0.00e+00  0.00e+00  1.00e-20 -1.64e+34  2.78e+32 -1.05e+34  5.79e+07  3.75e+06  0.00e+00  3.74e+06 
1.195e+13 1.225e+13   11      0        0  5.31e+09  0.00e+00  0.00e+00  1.14e+39  9.30e-14  4.77e+10  7.70e+05  8.11e+05  4.96e-13  2.04e-12  0.00e+00  0.00e+00  1.00e-20 -1.62e+34 -3.58e+32 -1.07e+34  5.46e+07  3.74e+06  0.00e+00  3.74e+06 
1.254e+13 1.285e+13   12      0        0  5.70e+09  0.00e+00  0.00e+00  1.32e+39  8.80e-14  4.51e+10  7.53e+05  7.96e+05  6.24e-13  2.32e-12  0.00e+00  0.00e+00  1.00e-20 -1.47e+34  1.25e+32 -1.02e+34  5.15e+07  3.74e+06  0.00e+00  3.73e+06 
1.317e+13 1.349e+13   13      0        0  6.13e+09  0.00e+00  0.00e+00  1.53e+39  8.36e-14  4.29e+10  7.37e+05  7.82e+05  9.12e-13  1.66e-12  0.00e+00  0.00e+00  1.00e-20 -1.54e+34  1.40e+32 -1.01e+34  4.84e+07  3.74e+06  0.00e+00  3.73e+06 
1.382e+13 1.417e+13   14      0        0  6.55e+09  0.00e+00  0.00e+00  1.78e+39  7.94e-14  4.07e+10  7.21e+05  7.67e+05  6.38e-13  2.52e-12  0.00e+00  0.00e+00  1.00e-20 -1.56e+34 -1.24e+32 -1.07e+34  4.57e+07  3.74e+06  0.00e+00  3.73e+06 
1.451e+13 1.487e+13   15      0        0  6.94e+09  0.00e+00  0.00e+00  2.07e+39  7.51e-14  3.85e+10  7.05e+05  7.53e+05  2.20e-13  1.45e-12  0.00e+00  0.00e+00  1.00e-20 -1.61e+34  1.06e+33 -9.63e+33  4.32e+07  3.74e+06  0.00e+00  3.73e+06 
1.523e+13 1.561e+13   16      0        0  7.33e+09  0.00e+00  0.00e+00  2.40e+39  7.09e-14  3.63e+10  6.88e+05  7.38e+05  3.63e-13  1.88e-12  0.00e+00  0.00e+00  1.00e-20 -1.52e+34  2.17e+32 -9.71e+33  4.10e+07  3.74e+06  0.00e+00  3.73e+06 
1.599e+13 1.639e+13   17      0        0  7.81e+09  0.00e+00  0.00e+00  2.79e+39  6.71e-14  3.44e+10  6.71e+05  7.23e+05  4.37e-13  1.65e-12  0.00e+00  0.00e+00  1.00e-20 -1.50e+34  2.30e+32 -9.93e+33  3.88e+07  3.74e+06  0.00e+00  3.73e+06 
1.678e+13 1.720e+13   18      0        0  8.25e+09  0.00e+00  0.00e+00  3.24e+39  6.37e-14  3.26e+10  6.54e+05  7.08e+05  3.61e-13  1.57e-12  0.00e+00  0.00e+00  1.00e-20 -1.58e+34  6.24e+32 -1.00e+34  3.67e+07  3.75e+06  0.00e+00  3.73e+06 
1.762e+13 1.806e+13   19      0        0  8.68e+09  0.00e+00  0.00e+00  3.76e+39  6.06e-14  3.11e+10  6.37e+05  6.93e+05  6.52e-13  2.09e-12  0.00e+00  0.00e+00  1.00e-20 -1.45e+34  1.83e+32 -9.93e+33  3.47e+07  3.75e+06  0.00e+00  3.74e+06 
1.850e+13 1.896e+13   20      0        0  9.11e+09  0.00e+00  0.00e+00  4.37e+39  5.76e-14  2.95e+10  6.19e+05  6.77e+05  5.05e-13  2.35e-12  0.00e+00  0.00e+00  1.00e-20 -1.44e+34  1.95e+32 -9.72e+33  3.29e+07  3.76e+06  0.00e+00  3.74e+06 
1.942e+13 1.990e+13   21      0        0  9.61e+09  0.00e+00  0.00e+00  5.09e+39  5.49e-14  2.82e+10  6.02e+05  6.61e+05  2.72e-13  1.81e-12  0.00e+00  0.00e+00  1.00e-20 -1.50e+34 -5.20e+32 -9.76e+33  3.10e+07  3.77e+06  0.00e+00  3.75e+06 
2.038e+13 2.089e+13   22      0        0  1.01e+10  0.00e+00  0.00e+00  5.92e+39  5.25e-14  2.69e+10  5.85e+05  6.47e+05  2.54e-13  1.76e-12  0.00e+00  0.00e+00  1.00e-20 -1.45e+34 -2.61e+32 -8.84e+33  2.93e+07  3.78e+06  0.00e+00  3.76e+06 
