 i  j inwind            r        theta           v_x          v_y           v_z          rho          t_e        t_rad
-- -- ------ ------------ ------------ ------------- ------------ ------------- ------------ ------------ ------------
 0  0     -1 3.857278e+13 0.000000e+00 -1.411495e+09 0.000000e+00  6.811944e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0  1     -1 3.857278e+13 3.000000e+00  8.140889e+06 0.000000e+00  7.872168e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0  2     -1 3.857278e+13 6.000000e+00  1.690697e+09 0.000000e+00  9.985516e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0  3     -1 3.857278e+13 9.000000e+00  2.432081e+09 0.000000e+00  1.214510e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0  4     -1 3.857278e+13 1.200000e+01  3.559222e+09 0.000000e+00  1.405762e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0  5     -1 3.857278e+13 1.500000e+01  4.963031e+09 0.000000e+00  1.542324e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0  6     -1 3.857278e+13 1.800000e+01  6.342727e+09 0.000000e+00  1.618892e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0  7     -1 3.857278e+13 2.100000e+01  7.455586e+09 0.000000e+00  1.624138e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0  8     -1 3.857278e+13 2.400000e+01  8.289797e+09 0.000000e+00  1.578845e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0  9     -1 3.857278e+13 2.700000e+01  8.820450e+09 0.000000e+00  1.492655e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0 10     -1 3.857278e+13 3.000000e+01  8.976322e+09 0.000000e+00  1.363186e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0 11     -1 3.857278e+13 3.300000e+01  8.724727e+09 0.000000e+00  1.200067e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0 12     -1 3.857278e+13 3.600000e+01  8.174528e+09 0.000000e+00  1.025987e+10 0.000000e+00 0.000000e+00 0.000000e+00
 0 13     -1 3.857278e+13 3.900000e+01  7.247439e+09 0.000000e+00  8.348591e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 14     -1 3.857278e+13 4.200000e+01  6.040632e+09 0.000000e+00  6.441142e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 15     -1 3.857278e+13 4.500000e+01  4.770885e+09 0.000000e+00  4.772550e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 16     -1 3.857278e+13 4.800000e+01  3.684230e+09 0.000000e+00  3.512246e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 17     -1 3.857278e+13 5.100000e+01  2.815416e+09 0.000000e+00  2.617293e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 18     -1 3.857278e+13 5.400000e+01  2.188250e+09 0.000000e+00  2.027489e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 19     -1 3.857278e+13 5.700000e+01  1.749302e+09 0.000000e+00  1.632606e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 20     -1 3.857278e+13 6.000000e+01  1.411970e+09 0.000000e+00  1.331650e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 21     -1 3.857278e+13 6.300000e+01  1.108407e+09 0.000000e+00  1.064522e+09 0.000000e+00 0.000000e+00 0.000000e+00
 0 22     -1 3.857278e+13 6.600000e+01  8.156314e+08 0.000000e+00  8.153079e+08 0.000000e+00 0.000000e+00 0.000000e+00
 0 23     -1 3.857278e+13 6.900000e+01  5.426746e+08 0.000000e+00  5.916531e+08 0.000000e+00 0.000000e+00 0.000000e+00
 0 24     -1 3.857278e+13 7.200000e+01  2.829184e+08 0.000000e+00  3.797472e+08 0.000000e+00 0.000000e+00 0.000000e+00
