        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.268e+13    0     -1        0  4.49e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13    1      0        0  4.11e+08  0.00e+00  0.00e+00  1.00e+40  1.51e-11  7.71e+12  1.90e+05  1.90e+05  1.10e+01 -7.95e+00  1.90e+05  1.90e+05  1.15e+00  3.37e+42  3.37e+42  3.37e+42  3.12e+07  2.21e+04  3.06e+07  1.64e-01  0.00e+00  0.00e+00 
2.524e+13    2      0        0  3.74e+08  0.00e+00  0.00e+00  1.17e+40  1.45e-11  7.44e+12  1.80e+05  1.80e+05  4.46e+01  6.92e+01  1.78e+05  1.78e+05  1.33e+00  3.36e+42  3.36e+42  3.36e+42  3.30e+07  2.13e+04  3.24e+07  1.94e-01  0.00e+00  0.00e+00 
2.663e+13    3      0        0  3.39e+08  0.00e+00  0.00e+00  1.38e+40  1.41e-11  7.20e+12  1.72e+05  1.72e+05  2.09e+02 -1.89e+02  1.67e+05  1.67e+05  1.51e+00  3.38e+42  3.38e+42  3.38e+42  3.44e+07  2.03e+04  3.37e+07  4.56e-01  0.00e+00  0.00e+00 
2.810e+13    4      0        0  3.11e+08  0.00e+00  0.00e+00  1.62e+40  1.36e-11  6.96e+12  1.65e+05  1.65e+05  1.05e+02  5.15e+01  1.58e+05  1.58e+05  1.67e+00  3.44e+42  3.44e+42  3.43e+42  3.57e+07  1.93e+04  3.49e+07  4.72e-01  0.00e+00  0.00e+00 
2.964e+13    5      0        0  2.88e+08  0.00e+00  0.00e+00  1.90e+40  1.32e-11  6.74e+12  1.59e+05  1.59e+05  1.07e+02 -3.60e+02  1.51e+05  1.51e+05  1.81e+00  3.50e+42  3.50e+42  3.51e+42  3.70e+07  1.83e+04  3.61e+07  3.35e-01  0.00e+00  0.00e+00 
3.127e+13    6      0        0  2.66e+08  0.00e+00  0.00e+00  2.23e+40  1.28e-11  6.55e+12  1.53e+05  1.53e+05  6.30e-01 -4.89e-01  1.44e+05  1.44e+05  1.91e+00  3.62e+42  3.62e+42  3.63e+42  3.83e+07  1.72e+04  3.73e+07  1.56e-01  0.00e+00  0.00e+00 
3.299e+13    7      0        0  2.47e+08  0.00e+00  0.00e+00  2.62e+40  1.25e-11  6.42e+12  1.48e+05  1.47e+05 -1.18e+03  1.71e+03  1.39e+05  1.39e+05  1.96e+00  3.83e+42  3.83e+42  3.82e+42  3.95e+07  1.59e+04  3.84e+07  5.60e-01  0.00e+00  0.00e+00 
3.481e+13    8      0        0  2.29e+08  0.00e+00  0.00e+00  3.08e+40  1.24e-11  6.35e+12  1.42e+05  1.42e+05  3.94e+02 -1.67e+03  1.35e+05  1.35e+05  1.98e+00  4.11e+42  4.11e+42  4.10e+42  4.05e+07  1.45e+04  3.93e+07  2.40e-01  0.00e+00  0.00e+00 
3.673e+13    9      0        0  2.14e+08  0.00e+00  0.00e+00  3.62e+40  1.23e-11  6.30e+12  1.37e+05  1.37e+05 -4.43e+02  9.18e+02  1.31e+05  1.31e+05  1.95e+00  4.45e+42  4.45e+42  4.45e+42  4.14e+07  1.31e+04  4.01e+07  5.60e-01  0.00e+00  0.00e+00 
