        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
2.268e+13    0     -1        0  4.49e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13    1      0        0  4.11e+08  0.00e+00  0.00e+00 -6.16e-06 -1.14e-14 -2.34e-05  0.00e+00  1.72e-05  0.00e+00 -2.34e-05 -1.14e-14 -6.16e-06  3.51e-06  2.97e-05  1.00e+00  1.00e+05 
2.524e+13    2      0        0  3.74e+08  0.00e+00  0.00e+00 -6.01e-06 -8.12e-15 -2.08e-05  0.00e+00  1.48e-05  0.00e+00 -2.08e-05 -8.12e-15 -6.01e-06  2.24e-06  2.71e-05  1.00e+00  1.00e+05 
2.663e+13    3      0        0  3.39e+08  0.00e+00  0.00e+00 -4.72e-06 -5.73e-15 -1.74e-05  0.00e+00  1.27e-05  0.00e+00 -1.74e-05 -5.73e-15 -4.72e-06  4.64e-06  2.26e-05  1.00e+00  1.00e+05 
2.810e+13    4      0        0  3.11e+08  0.00e+00  0.00e+00 -2.96e-06 -4.22e-15 -1.40e-05  0.00e+00  1.11e-05  0.00e+00 -1.40e-05 -4.22e-15 -2.96e-06  5.84e-06  1.73e-05  1.00e+00  1.00e+05 
2.964e+13    5      0        0  2.88e+08  0.00e+00  0.00e+00 -2.15e-06 -3.19e-15 -1.19e-05  0.00e+00  9.71e-06  0.00e+00 -1.19e-05 -3.19e-15 -2.15e-06  5.04e-06  1.42e-05  1.00e+00  1.00e+05 
3.127e+13    6      0        0  2.66e+08  0.00e+00  0.00e+00 -1.87e-06 -2.35e-15 -1.04e-05  0.00e+00  8.51e-06  0.00e+00 -1.04e-05 -2.35e-15 -1.87e-06  4.60e-06  1.24e-05  1.00e+00  1.00e+05 
3.299e+13    7      0        0  2.47e+08  0.00e+00  0.00e+00 -1.50e-06 -1.79e-15 -8.97e-06  0.00e+00  7.48e-06  0.00e+00 -8.97e-06 -1.79e-15 -1.50e-06  4.46e-06  1.06e-05  1.00e+00  1.00e+05 
3.481e+13    8      0        0  2.29e+08  0.00e+00  0.00e+00 -1.14e-06 -1.40e-15 -7.73e-06  0.00e+00  6.59e-06  0.00e+00 -7.73e-06 -1.40e-15 -1.14e-06  4.22e-06  8.98e-06  1.00e+00  1.00e+05 
3.673e+13    9      0        0  2.14e+08  0.00e+00  0.00e+00 -8.71e-07 -1.09e-15 -6.69e-06  0.00e+00  5.82e-06  0.00e+00 -6.69e-06 -1.09e-15 -8.71e-07  3.99e-06  7.66e-06  1.00e+00  1.00e+05 
3.875e+13   10      0        0  2.00e+08  0.00e+00  0.00e+00 -5.16e-07 -8.02e-16 -5.67e-06  0.00e+00  5.15e-06  0.00e+00 -5.67e-06 -8.02e-16 -5.16e-07  4.32e-06  6.31e-06  1.00e+00  1.00e+05 
4.088e+13   11      0        0  1.88e+08  0.00e+00  0.00e+00 -2.88e-07 -6.33e-16 -4.89e-06  0.00e+00  4.60e-06  0.00e+00 -4.89e-06 -6.33e-16 -2.88e-07  3.75e-06  5.21e-06  1.00e+00  1.00e+05 
4.313e+13   12      0        0  1.77e+08  0.00e+00  0.00e+00 -3.13e-07 -5.13e-16 -4.41e-06  0.00e+00  4.10e-06  0.00e+00 -4.41e-06 -5.13e-16 -3.13e-07  3.23e-06  4.76e-06  1.00e+00  1.00e+05 
4.551e+13   13      0        0  1.66e+08  0.00e+00  0.00e+00 -1.63e-07 -4.02e-16 -3.81e-06  0.00e+00  3.65e-06  0.00e+00 -3.81e-06 -4.02e-16 -1.63e-07  3.48e-06  4.06e-06  1.00e+00  1.00e+05 
4.801e+13   14      0        0  1.58e+08  0.00e+00  0.00e+00  3.50e-07 -3.26e-16 -2.93e-06  0.00e+00  3.28e-06  0.00e+00 -2.93e-06 -3.26e-16  3.50e-07  4.57e-06  3.28e-06  1.00e+00  1.00e+05 
5.065e+13   15      0        0  1.53e+08  0.00e+00  0.00e+00  1.25e-06 -2.95e-16 -1.77e-06  0.00e+00  3.02e-06  0.00e+00 -1.77e-06 -2.95e-16  1.25e-06  6.58e-06  3.02e-06  1.00e+00  1.00e+05 
5.344e+13   16      0        0  1.55e+08  0.00e+00  0.00e+00  2.22e-06 -2.74e-16 -6.77e-07  0.00e+00  2.90e-06  0.00e+00 -6.77e-07 -2.74e-16  2.22e-06  8.19e-06  2.90e-06  1.00e+00  1.00e+05 
5.638e+13   17      0        0  1.62e+08  0.00e+00  0.00e+00  2.92e-06 -3.18e-16  4.90e-08  0.00e+00  2.87e-06  0.00e+00  4.90e-08 -3.18e-16  2.92e-06  9.30e-06  3.52e-06  1.00e+00  1.00e+05 
5.949e+13   18      0        0  1.73e+08  0.00e+00  0.00e+00  3.51e-06 -3.48e-16  6.02e-07  0.00e+00  2.91e-06  0.00e+00  6.02e-07 -3.48e-16  3.51e-06  1.06e-05  4.69e-06  1.00e+00  1.00e+05 
6.276e+13   19      0        0  1.88e+08  0.00e+00  0.00e+00  3.78e-06 -4.17e-16  7.81e-07  0.00e+00  3.00e-06  0.00e+00  7.81e-07 -4.17e-16  3.78e-06  1.05e-05  4.58e-06  1.00e+00  1.00e+05 
6.621e+13   20      0        0  2.04e+08  0.00e+00  0.00e+00  3.34e-06 -4.86e-16  2.65e-07  0.00e+00  3.07e-06  0.00e+00  2.65e-07 -4.86e-16  3.34e-06  8.92e-06  3.74e-06  1.00e+00  1.00e+05 
6.986e+13   21      0        0  2.14e+08  0.00e+00  0.00e+00  3.09e-06 -5.43e-16  2.92e-08  0.00e+00  3.06e-06  0.00e+00  2.92e-08 -5.43e-16  3.09e-06  9.59e-06  3.45e-06  1.00e+00  1.00e+05 
7.370e+13   22      0        0  2.27e+08  0.00e+00  0.00e+00  3.03e-06 -6.37e-16 -5.29e-08  0.00e+00  3.08e-06  0.00e+00 -5.29e-08 -6.37e-16  3.03e-06  8.63e-06  3.08e-06  1.00e+00  1.00e+05 
7.776e+13   23      0        0  2.37e+08  0.00e+00  0.00e+00  2.40e-06 -6.78e-16 -6.48e-07  0.00e+00  3.05e-06  0.00e+00 -6.48e-07 -6.78e-16  2.40e-06  7.00e-06  3.05e-06  1.00e+00  1.00e+05 
8.204e+13   24      0        0  2.41e+08  0.00e+00  0.00e+00  1.98e-06 -6.91e-16 -9.60e-07  0.00e+00  2.94e-06  0.00e+00 -9.60e-07 -6.91e-16  1.98e-06  6.82e-06  2.94e-06  1.00e+00  1.00e+05 
8.656e+13   25      0        0  2.46e+08  0.00e+00  0.00e+00  1.49e-06 -6.65e-16 -1.36e-06  0.00e+00  2.84e-06  0.00e+00 -1.36e-06 -6.65e-16  1.49e-06  4.71e-06  2.84e-06  1.00e+00  1.00e+05 
9.132e+13   26      0        0  2.42e+08  0.00e+00  0.00e+00  1.03e-06 -6.03e-16 -1.63e-06  0.00e+00  2.65e-06  0.00e+00 -1.63e-06 -6.03e-16  1.03e-06  4.73e-06  2.65e-06  1.00e+00  1.00e+05 
9.635e+13   27      0        0  2.40e+08  0.00e+00  0.00e+00  8.56e-07 -5.63e-16 -1.64e-06  0.00e+00  2.49e-06  0.00e+00 -1.64e-06 -5.63e-16  8.56e-07  3.64e-06  2.49e-06  1.00e+00  1.00e+05 
1.017e+14   28      0        0  2.34e+08  0.00e+00  0.00e+00  1.91e-07 -4.98e-16 -2.11e-06  0.00e+00  2.30e-06  0.00e+00 -2.11e-06 -4.98e-16  1.91e-07  1.65e-06  2.69e-06  1.00e+00  1.00e+05 
1.072e+14   29      0        0  2.19e+08  0.00e+00  0.00e+00 -3.06e-07 -3.87e-16 -2.35e-06  0.00e+00  2.04e-06  0.00e+00 -2.35e-06 -3.87e-16 -3.06e-07  1.21e-06  2.66e-06  1.00e+00  1.00e+05 
1.131e+14   30      0        0  2.04e+08  0.00e+00  0.00e+00 -6.46e-07 -2.89e-16 -2.45e-06  0.00e+00  1.80e-06  0.00e+00 -2.45e-06 -2.89e-16 -6.46e-07 -2.47e-07  3.56e-06  1.00e+00  1.00e+05 
1.194e+14   31      0        0  1.82e+08  0.00e+00  0.00e+00 -1.03e-06 -1.94e-16 -2.55e-06  0.00e+00  1.52e-06  0.00e+00 -2.55e-06 -1.94e-16 -1.03e-06 -8.13e-07  3.58e-06  1.00e+00  1.00e+05 
1.259e+14   32      0        0  1.58e+08  0.00e+00  0.00e+00 -1.01e-06 -1.25e-16 -2.26e-06  0.00e+00  1.25e-06  0.00e+00 -2.26e-06 -1.25e-16 -1.01e-06 -6.82e-07  3.32e-06  1.00e+00  1.00e+05 
1.329e+14   33      0        0  1.37e+08  0.00e+00  0.00e+00 -9.89e-07 -7.19e-17 -2.02e-06  0.00e+00  1.03e-06  0.00e+00 -2.02e-06 -7.19e-17 -9.89e-07 -1.21e-06  3.06e-06  1.00e+00  1.00e+05 
1.402e+14   34      0        0  1.15e+08  0.00e+00  0.00e+00 -9.29e-07 -3.77e-17 -1.75e-06  0.00e+00  8.21e-07  0.00e+00 -1.75e-06 -3.77e-17 -9.29e-07 -8.22e-07  2.74e-06  1.00e+00  1.00e+05 
1.479e+14   35      0        0  9.73e+07  0.00e+00  0.00e+00 -7.65e-07 -2.40e-17 -1.42e-06  0.00e+00  6.58e-07  0.00e+00 -1.42e-06 -2.40e-17 -7.65e-07 -9.12e-07  2.21e-06  1.00e+00  1.00e+05 
1.561e+14   36      0        0  8.04e+07  0.00e+00  0.00e+00 -6.44e-07 -1.24e-17 -1.16e-06  0.00e+00  5.15e-07  0.00e+00 -1.16e-06 -1.24e-17 -6.44e-07 -6.03e-07  1.85e-06  1.00e+00  1.00e+05 
1.646e+14   37      0        0  6.73e+07  0.00e+00  0.00e+00 -4.90e-07 -8.86e-18 -8.99e-07  0.00e+00  4.09e-07  0.00e+00 -8.99e-07 -8.86e-18 -4.90e-07 -5.25e-07  1.41e-06  1.00e+00  1.00e+05 
1.737e+14   38      0        0  5.59e+07  0.00e+00  0.00e+00 -4.42e-07 -4.75e-18 -7.64e-07  0.00e+00  3.22e-07  0.00e+00 -7.64e-07 -4.75e-18 -4.42e-07 -5.92e-07  1.21e-06  1.00e+00  1.00e+05 
1.833e+14   39      0        0  4.49e+07  0.00e+00  0.00e+00 -3.75e-07 -1.14e-18 -6.20e-07  0.00e+00  2.45e-07  0.00e+00 -6.20e-07 -1.14e-18 -3.75e-07 -4.02e-07  1.02e-06  1.00e+00  1.00e+05 
1.934e+14   40      0        0  3.65e+07  0.00e+00  0.00e+00 -3.18e-07 -8.23e-19 -5.07e-07  0.00e+00  1.89e-07  0.00e+00 -5.07e-07 -8.23e-19 -3.18e-07 -4.93e-07  8.27e-07  1.00e+00  1.00e+05 
2.040e+14   41      0        0  2.78e+07  0.00e+00  0.00e+00 -2.83e-07 -1.92e-19 -4.19e-07  0.00e+00  1.36e-07  0.00e+00 -4.19e-07 -1.92e-19 -2.83e-07 -3.53e-07  7.20e-07  1.00e+00  1.00e+05 
2.152e+14   42      0        0  2.12e+07  0.00e+00  0.00e+00 -1.87e-07 -5.90e-19 -2.85e-07  0.00e+00  9.84e-08  0.00e+00 -2.85e-07 -5.90e-19 -1.87e-07 -1.85e-07  4.90e-07  1.00e+00  1.00e+05 
2.271e+14   43      0        0  1.69e+07  0.00e+00  0.00e+00 -1.62e-07  1.16e-19 -2.37e-07  0.00e+00  7.46e-08  0.00e+00 -2.37e-07  1.16e-19 -1.62e-07 -3.18e-07  4.40e-07  1.00e+00  1.00e+05 
2.396e+14   44      0        0  1.15e+07  0.00e+00  0.00e+00 -1.44e-07 -3.57e-20 -1.92e-07  0.00e+00  4.78e-08  0.00e+00 -1.92e-07 -3.57e-20 -1.44e-07 -1.52e-07  3.53e-07  1.00e+00  1.00e+05 
2.528e+14   45      0        0  8.38e+06  0.00e+00  0.00e+00 -8.71e-08  2.38e-19 -1.20e-07  0.00e+00  3.31e-08  0.00e+00 -1.20e-07  2.38e-19 -8.71e-08 -1.27e-07  2.11e-07  1.00e+00  1.00e+05 
