        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip      ntot      nrad    nioniz 
2.268e+13 2.330e+13    0     -1        0  5.55e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.392e+13 2.458e+13    1      0        0  5.24e+09  0.00e+00  0.00e+00  1.01e+40  2.72e-12  1.39e+12  1.74e+05  1.73e+05  6.57e-10  9.24e-10  0.00e+00  0.00e+00  8.18e-07 -1.77e+33 -7.02e+31 -1.19e+33  1.02e+05  1.78e+07  0.00e+00  1.73e+07 
2.524e+13 2.594e+13    2      0        0  4.92e+09  0.00e+00  0.00e+00  1.19e+40  2.62e-12  1.34e+12  1.70e+05  1.68e+05  7.34e-10  1.00e-09  0.00e+00  0.00e+00  1.04e-06 -1.81e+33  7.66e+31 -1.12e+33  9.91e+04  1.87e+07  0.00e+00  1.81e+07 
2.663e+13 2.736e+13    3      0        0  4.63e+09  0.00e+00  0.00e+00  1.40e+40  2.51e-12  1.29e+12  1.66e+05  1.64e+05  6.36e-10  1.04e-09  0.00e+00  0.00e+00  1.28e-06 -1.69e+33 -1.35e+31 -1.07e+33  9.55e+04  1.94e+07  0.00e+00  1.87e+07 
2.810e+13 2.887e+13    4      0        0  4.34e+09  0.00e+00  0.00e+00  1.64e+40  2.41e-12  1.24e+12  1.63e+05  1.60e+05  6.17e-10  1.06e-09  0.00e+00  0.00e+00  1.57e-06 -1.90e+33  4.59e+31 -1.21e+33  9.16e+04  2.01e+07  0.00e+00  1.93e+07 
2.964e+13 3.046e+13    5      0        0  4.06e+09  0.00e+00  0.00e+00  1.92e+40  2.31e-12  1.18e+12  1.59e+05  1.56e+05  6.50e-10  1.11e-09  0.00e+00  0.00e+00  1.92e-06 -2.09e+33 -2.81e+31 -1.29e+33  8.76e+04  2.07e+07  0.00e+00  1.98e+07 
3.127e+13 3.213e+13    6      0        0  3.78e+09  0.00e+00  0.00e+00  2.25e+40  2.20e-12  1.13e+12  1.56e+05  1.53e+05  7.40e-10  1.17e-09  0.00e+00  0.00e+00  2.36e-06 -2.05e+33  1.38e+31 -1.21e+33  8.38e+04  2.12e+07  0.00e+00  2.02e+07 
3.299e+13 3.390e+13    7      0        0  3.53e+09  0.00e+00  0.00e+00  2.64e+40  2.09e-12  1.07e+12  1.52e+05  1.50e+05  6.84e-10  1.09e-09  0.00e+00  0.00e+00  2.93e-06 -2.24e+33  4.83e+31 -1.42e+33  7.97e+04  2.16e+07  0.00e+00  2.04e+07 
3.481e+13 3.577e+13    8      0        0  3.31e+09  0.00e+00  0.00e+00  3.10e+40  1.97e-12  1.01e+12  1.49e+05  1.46e+05  6.36e-10  1.20e-09  0.00e+00  0.00e+00  3.65e-06 -2.17e+33  3.17e+31 -1.44e+33  7.57e+04  2.19e+07  0.00e+00  2.05e+07 
3.673e+13 3.774e+13    9      0        0  3.09e+09  0.00e+00  0.00e+00  3.64e+40  1.85e-12  9.50e+11  1.45e+05  1.43e+05  5.97e-10  1.30e-09  0.00e+00  0.00e+00  4.59e-06 -2.35e+33  1.56e+31 -1.46e+33  7.19e+04  2.20e+07  0.00e+00  2.05e+07 
