       r    i inwind 
2.27e+13    0     -1 
2.39e+13    1      0 
2.52e+13    2      0 
2.66e+13    3      0 
2.81e+13    4      0 
2.96e+13    5      0 
3.13e+13    6      0 
3.30e+13    7      0 
3.48e+13    8      0 
3.67e+13    9      0 
3.87e+13   10      0 
4.09e+13   11      0 
4.31e+13   12      0 
4.55e+13   13      0 
4.80e+13   14      0 
5.07e+13   15      0 
5.34e+13   16      0 
5.64e+13   17      0 
5.95e+13   18      0 
6.28e+13   19      0 
6.62e+13   20      0 
6.99e+13   21      0 
7.37e+13   22      0 
7.78e+13   23      0 
8.20e+13   24      0 
8.66e+13   25      0 
9.13e+13   26      0 
9.63e+13   27      0 
1.02e+14   28      0 
1.07e+14   29      0 
1.13e+14   30      0 
1.19e+14   31      0 
1.26e+14   32      0 
1.33e+14   33      0 
1.40e+14   34      0 
1.48e+14   35      0 
1.56e+14   36      0 
1.65e+14   37      0 
1.74e+14   38      0 
1.83e+14   39      0 
1.93e+14   40      0 
2.04e+14   41      0 
2.15e+14   42      0 
2.27e+14   43      0 
2.40e+14   44      0 
2.53e+14   45      0 
2.67e+14   46      0 
2.81e+14   47      0 
2.97e+14   48      0 
3.13e+14   49      0 
3.30e+14   50      0 
3.49e+14   51      0 
3.68e+14   52      0 
3.88e+14   53      0 
4.09e+14   54      0 
4.32e+14   55      0 
4.56e+14   56      0 
4.81e+14   57      0 
5.07e+14   58      0 
5.35e+14   59      0 
5.65e+14   60      0 
5.96e+14   61      0 
6.28e+14   62      0 
6.63e+14   63      0 
7.00e+14   64      0 
7.38e+14   65     -1 
7.79e+14   66     -1 
