        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
2.475e+13    0     -1        0  3.48e+08  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.598e+13    1      0        0  3.24e+08  0.00e+00  0.00e+00 -2.69e-06 -5.15e-15 -1.52e-05  0.00e+00  1.25e-05  0.00e+00 -1.52e-05 -5.15e-15 -2.69e-06  7.79e-06  1.80e-05  1.00e+00  1.00e+05 
2.728e+13    2      0        0  3.03e+08  0.00e+00  0.00e+00 -1.41e-06 -4.05e-15 -1.25e-05  0.00e+00  1.11e-05  0.00e+00 -1.25e-05 -4.05e-15 -1.41e-06  9.00e-06  1.41e-05  1.00e+00  1.00e+05 
2.863e+13    3      0        0  2.87e+08  0.00e+00  0.00e+00 -5.10e-07 -3.23e-15 -1.05e-05  0.00e+00  1.00e-05  0.00e+00 -1.05e-05 -3.23e-15 -5.10e-07  9.11e-06  1.11e-05  1.00e+00  1.00e+05 
3.006e+13    4      0        0  2.73e+08  0.00e+00  0.00e+00 -7.28e-07 -2.62e-15 -9.80e-06  0.00e+00  9.08e-06  0.00e+00 -9.80e-06 -2.62e-15 -7.28e-07  6.08e-06  1.11e-05  1.00e+00  1.00e+05 
3.155e+13    5      0        0  2.56e+08  0.00e+00  0.00e+00 -6.24e-07 -2.07e-15 -8.74e-06  0.00e+00  8.12e-06  0.00e+00 -8.74e-06 -2.07e-15 -6.24e-07  7.83e-06  9.49e-06  1.00e+00  1.00e+05 
3.312e+13    6      0        0  2.44e+08  0.00e+00  0.00e+00 -4.56e-08 -1.67e-15 -7.42e-06  0.00e+00  7.37e-06  0.00e+00 -7.42e-06 -1.67e-15 -4.56e-08  6.76e-06  7.48e-06  1.00e+00  1.00e+05 
3.477e+13    7      0        0  2.32e+08  0.00e+00  0.00e+00  4.87e-07 -1.42e-15 -6.19e-06  0.00e+00  6.68e-06  0.00e+00 -6.19e-06 -1.42e-15  4.87e-07  8.70e-06  6.68e-06  1.00e+00  1.00e+05 
3.650e+13    8      0        0  2.25e+08  0.00e+00  0.00e+00  9.26e-07 -1.25e-15 -5.24e-06  0.00e+00  6.17e-06  0.00e+00 -5.24e-06 -1.25e-15  9.26e-07  7.32e-06  6.17e-06  1.00e+00  1.00e+05 
3.832e+13    9      0        0  2.17e+08  0.00e+00  0.00e+00  1.11e-06 -1.03e-15 -4.55e-06  0.00e+00  5.66e-06  0.00e+00 -4.55e-06 -1.03e-15  1.11e-06  8.52e-06  5.66e-06  1.00e+00  1.00e+05 
4.022e+13   10      0        0  2.12e+08  0.00e+00  0.00e+00  1.18e-06 -9.70e-16 -4.10e-06  0.00e+00  5.28e-06  0.00e+00 -4.10e-06 -9.70e-16  1.18e-06  6.71e-06  5.28e-06  1.00e+00  1.00e+05 
4.222e+13   11      0        0  2.05e+08  0.00e+00  0.00e+00  8.65e-07 -8.11e-16 -4.00e-06  0.00e+00  4.87e-06  0.00e+00 -4.00e-06 -8.11e-16  8.65e-07  6.51e-06  4.87e-06  1.00e+00  1.00e+05 
4.432e+13   12      0        0  1.99e+08  0.00e+00  0.00e+00  1.01e-06 -7.00e-16 -3.49e-06  0.00e+00  4.50e-06  0.00e+00 -3.49e-06 -7.00e-16  1.01e-06  6.57e-06  4.50e-06  1.00e+00  1.00e+05 
4.653e+13   13      0        0  1.95e+08  0.00e+00  0.00e+00  1.36e-06 -6.21e-16 -2.82e-06  0.00e+00  4.19e-06  0.00e+00 -2.82e-06 -6.21e-16  1.36e-06  7.31e-06  4.19e-06  1.00e+00  1.00e+05 
4.884e+13   14      0        0  1.93e+08  0.00e+00  0.00e+00  1.93e-06 -5.87e-16 -2.02e-06  0.00e+00  3.95e-06  0.00e+00 -2.02e-06 -5.87e-16  1.93e-06  8.36e-06  3.95e-06  1.00e+00  1.00e+05 
5.127e+13   15      0        0  1.94e+08  0.00e+00  0.00e+00  2.38e-06 -5.92e-16 -1.41e-06  0.00e+00  3.79e-06  0.00e+00 -1.41e-06 -5.92e-16  2.38e-06  8.78e-06  3.79e-06  1.00e+00  1.00e+05 
5.382e+13   16      0        0  1.98e+08  0.00e+00  0.00e+00  2.89e-06 -5.69e-16 -7.81e-07  0.00e+00  3.67e-06  0.00e+00 -7.81e-07 -5.69e-16  2.89e-06  1.02e-05  3.67e-06  1.00e+00  1.00e+05 
5.650e+13   17      0        0  2.06e+08  0.00e+00  0.00e+00  3.44e-06 -5.90e-16 -1.97e-07  0.00e+00  3.64e-06  0.00e+00 -1.97e-07 -5.90e-16  3.44e-06  1.09e-05  3.64e-06  1.00e+00  1.00e+05 
5.931e+13   18      0        0  2.16e+08  0.00e+00  0.00e+00  3.70e-06 -6.52e-16  6.53e-08  0.00e+00  3.64e-06  0.00e+00  6.53e-08 -6.52e-16  3.70e-06  1.12e-05  3.95e-06  1.00e+00  1.00e+05 
6.226e+13   19      0        0  2.27e+08  0.00e+00  0.00e+00  3.83e-06 -7.29e-16  1.83e-07  0.00e+00  3.65e-06  0.00e+00  1.83e-07 -7.29e-16  3.83e-06  1.14e-05  4.08e-06  1.00e+00  1.00e+05 
6.536e+13   20      0        0  2.40e+08  0.00e+00  0.00e+00  3.88e-06 -8.51e-16  2.10e-07  0.00e+00  3.67e-06  0.00e+00  2.10e-07 -8.51e-16  3.88e-06  1.15e-05  4.10e-06  1.00e+00  1.00e+05 
6.861e+13   21      0        0  2.53e+08  0.00e+00  0.00e+00  3.90e-06 -9.17e-16  2.11e-07  0.00e+00  3.69e-06  0.00e+00  2.11e-07 -9.17e-16  3.90e-06  1.15e-05  4.12e-06  1.00e+00  1.00e+05 
7.203e+13   22      0        0  2.67e+08  0.00e+00  0.00e+00  3.78e-06 -1.03e-15  7.13e-08  0.00e+00  3.71e-06  0.00e+00  7.13e-08 -1.03e-15  3.78e-06  1.10e-05  3.87e-06  1.00e+00  1.00e+05 
7.561e+13   23      0        0  2.80e+08  0.00e+00  0.00e+00  3.39e-06 -1.14e-15 -3.11e-07  0.00e+00  3.71e-06  0.00e+00 -3.11e-07 -1.14e-15  3.39e-06  9.94e-06  3.71e-06  1.00e+00  1.00e+05 
7.937e+13   24      0        0  2.90e+08  0.00e+00  0.00e+00  2.94e-06 -1.23e-15 -7.14e-07  0.00e+00  3.65e-06  0.00e+00 -7.14e-07 -1.23e-15  2.94e-06  9.09e-06  3.65e-06  1.00e+00  1.00e+05 
8.332e+13   25      0        0  2.97e+08  0.00e+00  0.00e+00  2.43e-06 -1.25e-15 -1.14e-06  0.00e+00  3.57e-06  0.00e+00 -1.14e-06 -1.25e-15  2.43e-06  7.70e-06  3.57e-06  1.00e+00  1.00e+05 
8.746e+13   26      0        0  3.00e+08  0.00e+00  0.00e+00  1.91e-06 -1.22e-15 -1.52e-06  0.00e+00  3.43e-06  0.00e+00 -1.52e-06 -1.22e-15  1.91e-06  6.79e-06  3.43e-06  1.00e+00  1.00e+05 
9.181e+13   27      0        0  3.01e+08  0.00e+00  0.00e+00  1.46e-06 -1.17e-15 -1.81e-06  0.00e+00  3.27e-06  0.00e+00 -1.81e-06 -1.17e-15  1.46e-06  5.57e-06  3.27e-06  1.00e+00  1.00e+05 
9.638e+13   28      0        0  2.97e+08  0.00e+00  0.00e+00  9.19e-07 -1.05e-15 -2.16e-06  0.00e+00  3.08e-06  0.00e+00 -2.16e-06 -1.05e-15  9.19e-07  4.22e-06  3.08e-06  1.00e+00  1.00e+05 
1.012e+14   29      0        0  2.89e+08  0.00e+00  0.00e+00  6.05e-07 -9.46e-16 -2.25e-06  0.00e+00  2.86e-06  0.00e+00 -2.25e-06 -9.46e-16  6.05e-07  3.91e-06  2.86e-06  1.00e+00  1.00e+05 
1.062e+14   30      0        0  2.81e+08  0.00e+00  0.00e+00  3.30e-07 -8.05e-16 -2.31e-06  0.00e+00  2.64e-06  0.00e+00 -2.31e-06 -8.05e-16  3.30e-07  2.66e-06  2.64e-06  1.00e+00  1.00e+05 
1.115e+14   31      0        0  2.68e+08  0.00e+00  0.00e+00  1.69e-08 -6.76e-16 -2.39e-06  0.00e+00  2.41e-06  0.00e+00 -2.39e-06 -6.76e-16  1.69e-08  2.22e-06  2.41e-06  1.00e+00  1.00e+05 
1.170e+14   32      0        0  2.55e+08  0.00e+00  0.00e+00 -1.05e-07 -5.66e-16 -2.29e-06  0.00e+00  2.18e-06  0.00e+00 -2.29e-06 -5.66e-16 -1.05e-07  1.71e-06  2.42e-06  1.00e+00  1.00e+05 
1.229e+14   33      0        0  2.41e+08  0.00e+00  0.00e+00 -3.45e-07 -4.53e-16 -2.31e-06  0.00e+00  1.96e-06  0.00e+00 -2.31e-06 -4.53e-16 -3.45e-07  8.09e-07  2.88e-06  1.00e+00  1.00e+05 
1.290e+14   34      0        0  2.23e+08  0.00e+00  0.00e+00 -7.27e-07 -3.33e-16 -2.46e-06  0.00e+00  1.73e-06  0.00e+00 -2.46e-06 -3.33e-16 -7.27e-07 -2.78e-07  3.49e-06  1.00e+00  1.00e+05 
1.354e+14   35      0        0  2.01e+08  0.00e+00  0.00e+00 -8.87e-07 -2.40e-16 -2.37e-06  0.00e+00  1.49e-06  0.00e+00 -2.37e-06 -2.40e-16 -8.87e-07 -2.78e-07  3.27e-06  1.00e+00  1.00e+05 
1.421e+14   36      0        0  1.81e+08  0.00e+00  0.00e+00 -8.32e-07 -1.58e-16 -2.10e-06  0.00e+00  1.27e-06  0.00e+00 -2.10e-06 -1.58e-16 -8.32e-07 -4.98e-07  2.94e-06  1.00e+00  1.00e+05 
1.492e+14   37      0        0  1.61e+08  0.00e+00  0.00e+00 -7.80e-07 -1.06e-16 -1.86e-06  0.00e+00  1.08e-06  0.00e+00 -1.86e-06 -1.06e-16 -7.80e-07 -4.48e-07  2.65e-06  1.00e+00  1.00e+05 
1.566e+14   38      0        0  1.43e+08  0.00e+00  0.00e+00 -6.70e-07 -6.86e-17 -1.58e-06  0.00e+00  9.10e-07  0.00e+00 -1.58e-06 -6.86e-17 -6.70e-07 -3.96e-07  2.26e-06  1.00e+00  1.00e+05 
1.644e+14   39      0        0  1.26e+08  0.00e+00  0.00e+00 -5.83e-07 -4.64e-17 -1.35e-06  0.00e+00  7.69e-07  0.00e+00 -1.35e-06 -4.64e-17 -5.83e-07 -3.86e-07  1.94e-06  1.00e+00  1.00e+05 
1.726e+14   40      0        0  1.12e+08  0.00e+00  0.00e+00 -6.06e-07 -2.73e-17 -1.25e-06  0.00e+00  6.47e-07  0.00e+00 -1.25e-06 -2.73e-17 -6.06e-07 -7.50e-07  1.92e-06  1.00e+00  1.00e+05 
1.812e+14   41      0        0  9.52e+07  0.00e+00  0.00e+00 -5.86e-07 -2.18e-17 -1.11e-06  0.00e+00  5.26e-07  0.00e+00 -1.11e-06 -2.18e-17 -5.86e-07 -5.23e-07  1.71e-06  1.00e+00  1.00e+05 
1.902e+14   42      0        0  8.19e+07  0.00e+00  0.00e+00 -4.94e-07 -1.30e-17 -9.25e-07  0.00e+00  4.31e-07  0.00e+00 -9.25e-07 -1.30e-17 -4.94e-07 -5.86e-07  1.42e-06  1.00e+00  1.00e+05 
1.997e+14   43      0        0  6.90e+07  0.00e+00  0.00e+00 -4.50e-07 -6.63e-18 -7.96e-07  0.00e+00  3.46e-07  0.00e+00 -7.96e-07 -6.63e-18 -4.50e-07 -5.13e-07  1.25e-06  1.00e+00  1.00e+05 
2.096e+14   44      0        0  5.78e+07  0.00e+00  0.00e+00 -4.01e-07 -5.43e-18 -6.77e-07  0.00e+00  2.76e-07  0.00e+00 -6.77e-07 -5.43e-18 -4.01e-07 -5.35e-07  1.08e-06  1.00e+00  1.00e+05 
2.200e+14   45      0        0  4.71e+07  0.00e+00  0.00e+00 -3.69e-07 -2.72e-18 -5.83e-07  0.00e+00  2.14e-07  0.00e+00 -5.83e-07 -2.72e-18 -3.69e-07 -5.07e-07  9.57e-07  1.00e+00  1.00e+05 
2.310e+14   46      0        0  3.75e+07  0.00e+00  0.00e+00 -2.29e-07  6.63e-20 -3.91e-07  0.00e+00  1.62e-07  0.00e+00 -3.91e-07  6.63e-20 -2.29e-07 -5.95e-08  6.38e-07  1.00e+00  1.00e+05 
2.425e+14   47      0        0  3.33e+07  0.00e+00  0.00e+00 -1.14e-07 -1.95e-19 -2.52e-07  0.00e+00  1.37e-07  0.00e+00 -2.52e-07 -1.95e-19 -1.14e-07 -1.22e-07  3.72e-07  1.00e+00  1.00e+05 
2.545e+14   48      0        0  2.88e+07  0.00e+00  0.00e+00 -1.72e-07 -1.56e-19 -2.85e-07  0.00e+00  1.13e-07  0.00e+00 -2.85e-07 -1.56e-19 -1.72e-07 -3.45e-07  5.40e-07  1.00e+00  1.00e+05 
2.672e+14   49      0        0  2.20e+07  0.00e+00  0.00e+00 -1.31e-07 -4.03e-19 -2.14e-07  0.00e+00  8.23e-08  0.00e+00 -2.14e-07 -4.03e-19 -1.31e-07  2.93e-09  3.58e-07  1.00e+00  1.00e+05 
