 i            r          v_r          rho          t_r          t_e
-- ------------ ------------ ------------ ------------ ------------
 0 3.869505e+12 1.303834e+08 0.000000e+00 0.000000e+00 0.000000e+00
 1 4.082491e+12 2.942072e+08 1.213083e-10 1.000000e+05 9.000000e+04
 2 4.307199e+12 4.721982e+08 1.153495e-10 1.000000e+05 9.000000e+04
 3 4.544276e+12 6.546007e+08 1.093212e-10 1.000000e+05 9.000000e+04
 4 4.794401e+12 8.241479e+08 1.029763e-10 1.000000e+05 9.000000e+04
 5 5.058295e+12 9.754053e+08 9.676310e-11 1.000000e+05 9.000000e+04
 6 5.336713e+12 1.110344e+09 9.095854e-11 1.000000e+05 9.000000e+04
 7 5.630456e+12 1.224470e+09 8.520135e-11 1.000000e+05 9.000000e+04
 8 5.940368e+12 1.318217e+09 7.960826e-11 1.000000e+05 9.000000e+04
 9 6.267337e+12 1.390130e+09 7.442884e-11 1.000000e+05 9.000000e+04
10 6.612304e+12 1.440265e+09 6.984796e-11 1.000000e+05 9.000000e+04
11 6.976258e+12 1.467715e+09 6.583861e-11 1.000000e+05 9.000000e+04
12 7.360245e+12 1.476168e+09 6.220906e-11 1.000000e+05 9.000000e+04
13 7.765367e+12 1.463970e+09 5.877845e-11 1.000000e+05 9.000000e+04
14 8.192788e+12 1.436260e+09 5.558482e-11 1.000000e+05 9.000000e+04
15 8.643735e+12 1.397564e+09 5.259196e-11 1.000000e+05 9.000000e+04
16 9.119503e+12 1.343681e+09 4.985567e-11 1.000000e+05 9.000000e+04
17 9.621459e+12 1.284877e+09 4.747832e-11 1.000000e+05 9.000000e+04
18 1.015104e+13 1.221074e+09 4.535688e-11 1.000000e+05 9.000000e+04
19 1.070978e+13 1.154669e+09 4.287494e-11 1.000000e+05 9.000000e+04
20 1.129926e+13 1.087370e+09 4.011083e-11 1.000000e+05 9.000000e+04
21 1.192120e+13 1.018640e+09 3.704679e-11 1.000000e+05 9.000000e+04
22 1.257736e+13 9.564809e+08 3.406862e-11 1.000000e+05 9.000000e+04
23 1.326965e+13 8.967824e+08 3.155649e-11 1.000000e+05 9.000000e+04
24 1.400003e+13 8.392376e+08 2.923049e-11 1.000000e+05 9.000000e+04
25 1.477062e+13 7.877815e+08 2.709383e-11 1.000000e+05 9.000000e+04
26 1.558363e+13 7.410065e+08 2.495397e-11 1.000000e+05 9.000000e+04
27 1.644138e+13 6.938704e+08 2.283287e-11 1.000000e+05 9.000000e+04
28 1.734634e+13 6.498048e+08 2.095220e-11 1.000000e+05 9.000000e+04
29 1.830112e+13 6.070145e+08 1.937884e-11 1.000000e+05 9.000000e+04
30 1.930845e+13 5.649784e+08 1.813468e-11 1.000000e+05 9.000000e+04
31 2.037123e+13 5.241665e+08 1.714558e-11 1.000000e+05 9.000000e+04
32 2.149250e+13 4.875147e+08 1.633571e-11 1.000000e+05 9.000000e+04
33 2.267549e+13 4.493436e+08 1.566126e-11 1.000000e+05 9.000000e+04
34 2.392359e+13 4.111316e+08 1.506321e-11 1.000000e+05 9.000000e+04
35 2.524039e+13 3.737138e+08 1.453031e-11 1.000000e+05 9.000000e+04
36 2.662967e+13 3.386679e+08 1.405255e-11 1.000000e+05 9.000000e+04
37 2.809542e+13 3.106846e+08 1.359338e-11 1.000000e+05 9.000000e+04
38 2.964185e+13 2.876624e+08 1.315228e-11 1.000000e+05 9.000000e+04
39 3.127339e+13 2.662212e+08 1.278699e-11 1.000000e+05 9.000000e+04
40 3.299474e+13 2.466709e+08 1.254461e-11 1.000000e+05 9.000000e+04
41 3.481084e+13 2.292742e+08 1.239304e-11 1.000000e+05 9.000000e+04
42 3.672690e+13 2.136346e+08 1.230261e-11 1.000000e+05 9.000000e+04
43 3.874842e+13 1.995683e+08 1.222562e-11 1.000000e+05 9.000000e+04
44 4.088120e+13 1.880285e+08 1.215241e-11 1.000000e+05 9.000000e+04
45 4.313139e+13 1.769089e+08 1.204879e-11 1.000000e+05 9.000000e+04
46 4.550542e+13 1.661926e+08 1.188279e-11 1.000000e+05 9.000000e+04
47 4.801013e+13 1.575686e+08 1.159129e-11 1.000000e+05 9.000000e+04
48 5.065270e+13 1.530086e+08 1.125716e-11 1.000000e+05 9.000000e+04
49 5.344072e+13 1.548702e+08 1.088019e-11 1.000000e+05 9.000000e+04
50 5.638221e+13 1.619767e+08 1.049321e-11 1.000000e+05 9.000000e+04
51 5.948559e+13 1.729131e+08 9.994178e-12 1.000000e+05 9.000000e+04
52 6.275980e+13 1.882855e+08 9.405984e-12 1.000000e+05 9.000000e+04
53 6.621422e+13 2.035870e+08 8.724587e-12 1.000000e+05 9.000000e+04
54 6.985878e+13 2.137348e+08 8.005265e-12 1.000000e+05 9.000000e+04
55 7.370394e+13 2.270024e+08 7.225412e-12 1.000000e+05 9.000000e+04
56 7.776075e+13 2.371420e+08 6.470798e-12 1.000000e+05 9.000000e+04
57 8.204086e+13 2.414637e+08 5.742322e-12 1.000000e+05 9.000000e+04
58 8.655655e+13 2.461451e+08 5.083342e-12 1.000000e+05 9.000000e+04
59 9.132079e+13 2.424332e+08 4.531997e-12 1.000000e+05 9.000000e+04
60 9.634727e+13 2.403631e+08 4.005368e-12 1.000000e+05 9.000000e+04
61 1.016504e+14 2.342420e+08 3.591798e-12 1.000000e+05 9.000000e+04
62 1.072454e+14 2.192061e+08 3.214426e-12 1.000000e+05 9.000000e+04
63 1.131484e+14 2.037221e+08 2.888668e-12 1.000000e+05 9.000000e+04
64 1.193764e+14 1.815436e+08 2.622403e-12 1.000000e+05 9.000000e+04
65 1.259471e+14 1.580096e+08 2.390563e-12 1.000000e+05 9.000000e+04
66 1.328794e+14 1.374538e+08 2.192195e-12 1.000000e+05 9.000000e+04
67 1.401934e+14 1.150659e+08 2.007424e-12 1.000000e+05 9.000000e+04
68 1.479099e+14 9.734127e+07 1.853677e-12 1.000000e+05 9.000000e+04
69 1.560512e+14 8.039543e+07 1.721900e-12 1.000000e+05 9.000000e+04
70 1.646405e+14 6.730192e+07 1.602032e-12 1.000000e+05 9.000000e+04
71 1.737027e+14 5.594050e+07 1.500394e-12 1.000000e+05 9.000000e+04
72 1.832636e+14 4.488006e+07 1.408634e-12 1.000000e+05 9.000000e+04
73 1.933508e+14 3.646634e+07 1.330546e-12 1.000000e+05 9.000000e+04
74 2.039932e+14 2.777382e+07 1.267002e-12 1.000000e+05 9.000000e+04
75 2.152214e+14 2.118378e+07 1.204934e-12 1.000000e+05 9.000000e+04
76 2.270676e+14 1.694820e+07 1.143602e-12 1.000000e+05 9.000000e+04
77 2.395658e+14 1.145143e+07 1.085474e-12 1.000000e+05 9.000000e+04
78 2.527520e+14 8.378423e+06 1.036641e-12 1.000000e+05 9.000000e+04
79 2.666639e+14 5.850973e+06 9.877905e-13 1.000000e+05 9.000000e+04
80 2.813417e+14 4.646973e+06 9.440762e-13 1.000000e+05 9.000000e+04
81 2.968273e+14 4.735758e+06 9.123998e-13 1.000000e+05 9.000000e+04
82 3.131652e+14 4.620518e+06 8.738432e-13 1.000000e+05 9.000000e+04
83 3.304024e+14 7.919324e+06 8.556293e-13 1.000000e+05 9.000000e+04
84 3.485884e+14 2.471949e+07 8.492302e-13 1.000000e+05 9.000000e+04
85 3.677754e+14 6.614939e+07 8.077900e-13 1.000000e+05 9.000000e+04
86 3.880185e+14 1.450856e+08 7.957941e-13 1.000000e+05 9.000000e+04
87 4.093758e+14 2.270060e+08 7.736244e-13 1.000000e+05 9.000000e+04
88 4.319086e+14 2.783764e+08 7.490650e-13 1.000000e+05 9.000000e+04
89 4.556817e+14 4.111937e+08 7.223291e-13 1.000000e+05 9.000000e+04
90 4.807634e+14 4.782856e+08 6.760537e-13 1.000000e+05 9.000000e+04
91 5.072255e+14 5.627557e+08 5.590636e-13 1.000000e+05 9.000000e+04
