  i            r          v_r          rho          t_e          t_r
--- ------------ ------------ ------------ ------------ ------------
  0 3.667632e+12 5.177911e+07 0.000000e+00 0.000000e+00 0.000000e+00
  1 3.869505e+12 3.925683e+08 1.302040e-11 6.084140e+05 6.760156e+05
  2 4.082491e+12 9.109993e+08 1.239816e-11 5.910666e+05 6.567406e+05
  3 4.307199e+12 1.545078e+09 1.171437e-11 5.741795e+05 6.379773e+05
  4 4.544276e+12 2.198679e+09 1.096387e-11 5.576090e+05 6.195656e+05
  5 4.794401e+12 2.842677e+09 1.022267e-11 5.413134e+05 6.014593e+05
  6 5.058295e+12 3.457514e+09 9.547122e-12 5.257583e+05 5.841759e+05
  7 5.336713e+12 4.037258e+09 8.962932e-12 5.109527e+05 5.677252e+05
  8 5.630456e+12 4.615610e+09 8.479394e-12 4.961401e+05 5.512667e+05
  9 5.940368e+12 5.189710e+09 8.013695e-12 4.824314e+05 5.360349e+05
 10 6.267337e+12 5.720639e+09 7.591374e-12 4.689988e+05 5.211098e+05
 11 6.612304e+12 6.187269e+09 7.207466e-12 4.564306e+05 5.071451e+05
 12 6.976258e+12 6.619637e+09 6.844408e-12 4.443539e+05 4.937265e+05
 13 7.360245e+12 6.969542e+09 6.510846e-12 4.318477e+05 4.798308e+05
 14 7.765367e+12 7.262540e+09 6.208487e-12 4.195591e+05 4.661768e+05
 15 8.192788e+12 7.529034e+09 5.939000e-12 4.080648e+05 4.534054e+05
 16 8.643735e+12 7.754814e+09 5.701545e-12 3.967102e+05 4.407891e+05
 17 9.119503e+12 7.924840e+09 5.488824e-12 3.855179e+05 4.283532e+05
 18 9.621459e+12 8.063808e+09 5.294877e-12 3.748152e+05 4.164614e+05
 19 1.015104e+13 8.169860e+09 5.111577e-12 3.645316e+05 4.050351e+05
 20 1.070978e+13 8.224825e+09 4.932795e-12 3.541048e+05 3.934498e+05
 21 1.129926e+13 8.231245e+09 4.765185e-12 3.439174e+05 3.821304e+05
 22 1.192120e+13 8.201467e+09 4.604951e-12 3.343466e+05 3.714962e+05
 23 1.257736e+13 8.134886e+09 4.457033e-12 3.251371e+05 3.612635e+05
 24 1.326965e+13 8.023112e+09 4.318739e-12 3.159618e+05 3.510687e+05
 25 1.400003e+13 7.874615e+09 4.171349e-12 3.074471e+05 3.416079e+05
 26 1.477062e+13 7.700420e+09 4.024769e-12 2.997141e+05 3.330156e+05
 27 1.558363e+13 7.493480e+09 3.873365e-12 2.918341e+05 3.242601e+05
 28 1.644138e+13 7.254312e+09 3.716690e-12 2.843176e+05 3.159085e+05
 29 1.734634e+13 7.007958e+09 3.561703e-12 2.775786e+05 3.084207e+05
 30 1.830112e+13 6.732291e+09 3.411129e-12 2.704037e+05 3.004485e+05
 31 1.930845e+13 6.442570e+09 3.266858e-12 2.636359e+05 2.929287e+05
 32 2.037123e+13 6.153954e+09 3.130489e-12 2.569846e+05 2.855385e+05
 33 2.149250e+13 5.840827e+09 3.003137e-12 2.505284e+05 2.783649e+05
 34 2.267549e+13 5.546562e+09 2.880802e-12 2.443596e+05 2.715106e+05
 35 2.392359e+13 5.239610e+09 2.760905e-12 2.379340e+05 2.643711e+05
