 i            r          v_r          rho          t_e          t_r
-- ------------ ------------ ------------ ------------ ------------
 0 7.360245e+12 5.402298e+08 0.000000e+00 0.000000e+00 0.000000e+00
 1 7.765367e+12 1.110048e+09 1.729631e-13 3.355487e+05 3.728319e+05
 2 8.192788e+12 1.659670e+09 1.575729e-13 3.293266e+05 3.659185e+05
 3 8.643735e+12 2.162682e+09 1.442688e-13 3.241730e+05 3.601922e+05
 4 9.119503e+12 2.692223e+09 1.328527e-13 3.191236e+05 3.545818e+05
 5 9.621459e+12 3.159501e+09 1.228322e-13 3.135368e+05 3.483742e+05
 6 1.015104e+13 3.646602e+09 1.137991e-13 3.082713e+05 3.425237e+05
 7 1.070978e+13 4.158250e+09 1.059064e-13 3.036804e+05 3.374227e+05
 8 1.129926e+13 4.676148e+09 9.927224e-14 2.985280e+05 3.316978e+05
 9 1.192120e+13 5.154563e+09 9.344785e-14 2.933187e+05 3.259096e+05
10 1.257736e+13 5.566965e+09 8.822852e-14 2.886802e+05 3.207558e+05
11 1.326965e+13 6.033785e+09 8.353244e-14 2.844209e+05 3.160232e+05
12 1.400003e+13 6.513433e+09 7.893726e-14 2.794837e+05 3.105374e+05
13 1.477062e+13 6.942433e+09 7.451823e-14 2.741614e+05 3.046238e+05
14 1.558363e+13 7.367856e+09 7.042380e-14 2.701076e+05 3.001196e+05
15 1.644138e+13 7.911581e+09 6.683815e-14 2.660201e+05 2.955779e+05
16 1.734634e+13 8.402088e+09 6.366323e-14 2.608680e+05 2.898533e+05
17 1.830112e+13 8.854489e+09 6.067601e-14 2.556312e+05 2.840347e+05
18 1.930845e+13 9.366082e+09 5.808703e-14 2.521543e+05 2.801715e+05
19 2.037123e+13 9.917406e+09 5.587331e-14 2.476137e+05 2.751263e+05
20 2.149250e+13 1.038355e+10 5.396328e-14 2.420260e+05 2.689178e+05
21 2.267549e+13 1.086119e+10 5.239310e-14 2.373873e+05 2.637637e+05
22 2.392359e+13 1.140094e+10 5.145940e-14 2.340372e+05 2.600414e+05
23 2.524039e+13 1.193085e+10 5.107468e-14 2.293206e+05 2.548007e+05
24 2.662967e+13 1.238310e+10 5.136197e-14 2.249415e+05 2.499350e+05
25 2.809542e+13 1.283610e+10 5.214617e-14 2.202783e+05 2.447537e+05
26 2.964185e+13 1.334583e+10 5.334549e-14 2.160156e+05 2.400173e+05
27 3.127339e+13 1.387405e+10 5.509841e-14 2.128895e+05 2.365439e+05
28 3.299474e+13 1.435375e+10 5.745655e-14 2.090328e+05 2.322587e+05
29 3.481084e+13 1.479349e+10 6.037126e-14 2.039752e+05 2.266391e+05
30 3.672690e+13 1.526057e+10 6.363829e-14 2.001175e+05 2.223528e+05
31 3.874842e+13 1.573004e+10 6.733628e-14 1.971341e+05 2.190379e+05
32 4.088120e+13 1.612169e+10 7.138524e-14 1.928807e+05 2.143119e+05
33 4.313139e+13 1.648317e+10 7.531681e-14 1.886872e+05 2.096524e+05
34 4.550542e+13 1.683920e+10 7.920140e-14 1.848848e+05 2.054276e+05
35 4.801013e+13 1.715140e+10 8.285189e-14 1.810025e+05 2.011139e+05
36 5.065270e+13 1.742850e+10 8.615821e-14 1.769147e+05 1.965719e+05
37 5.344072e+13 1.767710e+10 8.918135e-14 1.728276e+05 1.920307e+05
38 5.638221e+13 1.788725e+10 9.152040e-14 1.685651e+05 1.872945e+05
39 5.948559e+13 1.806954e+10 9.329774e-14 1.644867e+05 1.827630e+05
40 6.275980e+13 1.823573e+10 9.451951e-14 1.603367e+05 1.781519e+05
41 6.621422e+13 1.836463e+10 9.507918e-14 1.560096e+05 1.733440e+05
42 6.985878e+13 1.846530e+10 9.498417e-14 1.517676e+05 1.686307e+05
43 7.370394e+13 1.853858e+10 9.448128e-14 1.476601e+05 1.640667e+05
44 7.776075e+13 1.858188e+10 9.357405e-14 1.437582e+05 1.597313e+05
45 8.204086e+13 1.859825e+10 9.228423e-14 1.399584e+05 1.555093e+05
46 8.655655e+13 1.858689e+10 9.065229e-14 1.363075e+05 1.514528e+05
47 9.132079e+13 1.853565e+10 8.873040e-14 1.327306e+05 1.474784e+05
48 9.634727e+13 1.845316e+10 8.667986e-14 1.290640e+05 1.434044e+05
49 1.016504e+14 1.834041e+10 8.460711e-14 1.256380e+05 1.395978e+05
50 1.072454e+14 1.819526e+10 8.256502e-14 1.224559e+05 1.360621e+05
51 1.131484e+14 1.802275e+10 8.059152e-14 1.193509e+05 1.326121e+05
52 1.193764e+14 1.782362e+10 7.872762e-14 1.163211e+05 1.292456e+05
