  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
--- --- ------ ------------ ------------ ------------- ------------ ------------- ------------ ------------ ------------
  0   0     -1 2.165319e+13 0.000000e+00 -2.128128e+09 0.000000e+00  4.342824e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   1     -1 2.165319e+13 7.142857e-01 -2.073823e+09 0.000000e+00  4.369016e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   2     -1 2.165319e+13 1.428571e+00 -2.019197e+09 0.000000e+00  4.394529e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   3     -1 2.165319e+13 2.142857e+00 -1.964256e+09 0.000000e+00  4.419360e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   4     -1 2.165319e+13 2.857143e+00 -1.616134e+09 0.000000e+00  4.626634e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   5     -1 2.165319e+13 3.571429e+00 -1.111191e+09 0.000000e+00  4.901732e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   6     -1 2.165319e+13 4.285714e+00 -6.189282e+08 0.000000e+00  5.169972e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   7     -1 2.165319e+13 5.000000e+00 -1.525363e+08 0.000000e+00  5.435578e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   8     -1 2.165319e+13 5.714286e+00  2.749967e+08 0.000000e+00  5.703431e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   9     -1 2.165319e+13 6.428571e+00  6.509049e+08 0.000000e+00  5.979064e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  10     -1 2.165319e+13 7.142857e+00  9.599935e+08 0.000000e+00  6.269814e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  11     -1 2.165319e+13 7.857143e+00  1.197185e+09 0.000000e+00  6.579663e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  12     -1 2.165319e+13 8.571429e+00  1.374553e+09 0.000000e+00  6.907548e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  13     -1 2.165319e+13 9.285714e+00  1.507330e+09 0.000000e+00  7.251094e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  14     -1 2.165319e+13 1.000000e+01  1.611703e+09 0.000000e+00  7.606421e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  15     -1 2.165319e+13 1.071429e+01  1.703615e+09 0.000000e+00  7.968855e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  16     -1 2.165319e+13 1.142857e+01  1.799689e+09 0.000000e+00  8.332510e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  17     -1 2.165319e+13 1.214286e+01  1.920376e+09 0.000000e+00  8.688703e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  18     -1 2.165319e+13 1.285714e+01  2.061788e+09 0.000000e+00  9.038797e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  19     -1 2.165319e+13 1.357143e+01  2.222110e+09 0.000000e+00  9.383655e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  20     -1 2.165319e+13 1.428571e+01  2.399501e+09 0.000000e+00  9.724028e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  21     -1 2.165319e+13 1.500000e+01  2.592172e+09 0.000000e+00  1.006076e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  22     -1 2.165319e+13 1.571429e+01  2.798226e+09 0.000000e+00  1.039475e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  23     -1 2.165319e+13 1.642857e+01  3.015157e+09 0.000000e+00  1.072569e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  24     -1 2.165319e+13 1.714286e+01  3.242847e+09 0.000000e+00  1.105127e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  25     -1 2.165319e+13 1.785714e+01  3.480271e+09 0.000000e+00  1.136716e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  26     -1 2.165319e+13 1.857143e+01  3.726146e+09 0.000000e+00  1.166899e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  27     -1 2.165319e+13 1.928571e+01  3.978979e+09 0.000000e+00  1.195245e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  28     -1 2.165319e+13 2.000000e+01  4.236855e+09 0.000000e+00  1.221240e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  29     -1 2.165319e+13 2.071429e+01  4.497515e+09 0.000000e+00  1.244660e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  30     -1 2.165319e+13 2.142857e+01  4.759412e+09 0.000000e+00  1.265553e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  31     -1 2.165319e+13 2.214286e+01  5.020408e+09 0.000000e+00  1.283968e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  32     -1 2.165319e+13 2.285714e+01  5.278450e+09 0.000000e+00  1.299980e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  33     -1 2.165319e+13 2.357143e+01  5.531515e+09 0.000000e+00  1.313678e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  34     -1 2.165319e+13 2.428571e+01  5.777087e+09 0.000000e+00  1.325114e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  35     -1 2.165319e+13 2.500000e+01  6.015301e+09 0.000000e+00  1.334286e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  36     -1 2.165319e+13 2.571429e+01  6.246455e+09 0.000000e+00  1.341209e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  37     -1 2.165319e+13 2.642857e+01  6.470757e+09 0.000000e+00  1.345857e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  38     -1 2.165319e+13 2.714286e+01  6.688390e+09 0.000000e+00  1.348198e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  39     -1 2.165319e+13 2.785714e+01  6.899223e+09 0.000000e+00  1.348145e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  40     -1 2.165319e+13 2.857143e+01  7.102352e+09 0.000000e+00  1.345831e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  41     -1 2.165319e+13 2.928571e+01  7.296438e+09 0.000000e+00  1.341438e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  42     -1 2.165319e+13 3.000000e+01  7.479915e+09 0.000000e+00  1.335148e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  43     -1 2.165319e+13 3.071429e+01  7.651300e+09 0.000000e+00  1.327153e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  44     -1 2.165319e+13 3.142857e+01  7.809207e+09 0.000000e+00  1.317677e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  45     -1 2.165319e+13 3.214286e+01  7.953168e+09 0.000000e+00  1.306682e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  46     -1 2.165319e+13 3.285714e+01  8.083525e+09 0.000000e+00  1.294099e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  47     -1 2.165319e+13 3.357143e+01  8.200489e+09 0.000000e+00  1.279822e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  48     -1 2.165319e+13 3.428571e+01  8.304248e+09 0.000000e+00  1.263740e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  49     -1 2.165319e+13 3.500000e+01  8.394383e+09 0.000000e+00  1.245664e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  50     -1 2.165319e+13 3.571429e+01  8.469828e+09 0.000000e+00  1.225706e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  51     -1 2.165319e+13 3.642857e+01  8.528920e+09 0.000000e+00  1.203924e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  52     -1 2.165319e+13 3.714286e+01  8.569926e+09 0.000000e+00  1.180391e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  53     -1 2.165319e+13 3.785714e+01  8.591093e+09 0.000000e+00  1.155201e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  54     -1 2.165319e+13 3.857143e+01  8.591941e+09 0.000000e+00  1.128487e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  55     -1 2.165319e+13 3.928571e+01  8.573859e+09 0.000000e+00  1.100448e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  56     -1 2.165319e+13 4.000000e+01  8.538714e+09 0.000000e+00  1.071298e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  57     -1 2.165319e+13 4.071429e+01  8.488536e+09 0.000000e+00  1.041252e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  58     -1 2.165319e+13 4.142857e+01  8.425483e+09 0.000000e+00  1.010521e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  59     -1 2.165319e+13 4.214286e+01  8.349100e+09 0.000000e+00  9.791646e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  60     -1 2.165319e+13 4.285714e+01  8.258762e+09 0.000000e+00  9.472430e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  61     -1 2.165319e+13 4.357143e+01  8.153786e+09 0.000000e+00  9.148199e+09 0.000000e+00 0.000000e+00 0.000000e+00
