      r      theta      rho   t_gas   t_rad          v_r      v_theta
------- ---------- -------- ------- ------- ------------ ------------
1.23391   0.101282 -10.2296  8.0189 6.18389    -0.744403   -0.0318506
1.23391   0.286911 -10.1384 7.62757 6.20675    -0.739163   -0.0272553
1.23391   0.451638  -10.063 7.44127 6.24556    -0.703359      -0.0376
1.23391   0.597372 -10.0854 7.72146 6.25294    -0.643362   -0.0388353
1.23391   0.725896  -10.133 7.99648 6.25109    -0.597001   -0.0370645
1.23391   0.838877 -10.1668 8.21692 6.24633     -0.57854   -0.0330695
1.23391   0.937869  -10.149  8.4018 6.25051    -0.566481   -0.0287005
1.23391    1.02431 -10.0969 8.45319 6.26043    -0.547994   -0.0231964
1.23391    1.09955 -10.0372 8.43096 6.26746    -0.531488   -0.0185741
1.23391    1.16481 -9.96668 8.35091 6.27257     -0.51956   -0.0141439
1.23391    1.22124 -9.87939 8.22935 6.27853     -0.51153   -0.0103766
1.23391    1.26988 -9.77866 8.08852 6.28546    -0.505885  -0.00691541
1.23391    1.31168 -9.66265 7.91837 6.29426    -0.501117  -0.00395319
1.23391    1.34753 -9.53974 7.73626 6.30483    -0.496297  -0.00142058
1.23391     1.3782 -9.42074 7.55256 6.31747    -0.491593  0.000733679
1.23391    1.40442 -9.29882 7.38318 6.33303    -0.485525   0.00257976
1.23391    1.42682 -9.18305 7.23284 6.34974    -0.479111   0.00398876
1.23391    1.44598 -9.07073 7.11159 6.36796    -0.472715   0.00517976
1.23391    1.46242 -8.96519 7.01594 6.38761    -0.466336   0.00605695
1.23391    1.47657  -8.8707 6.94382 6.40807    -0.459883    0.0067315
1.23391    1.48883 -8.78665 6.89937 6.42777    -0.453094   0.00709958
1.23391    1.49954 -8.71032 6.85831 6.44826    -0.446101   0.00728386
1.23391      1.509 -8.64004 6.81561 6.46777    -0.439331   0.00735603
1.23391    1.51746 -8.57394 6.79164  6.4869    -0.433276    0.0072047
1.23391    1.52512 -8.51607 6.76502 6.50503    -0.427805    0.0070144
1.23391    1.53217 -8.46251 6.75723 6.52266    -0.422771   0.00675924
1.23391    1.53875 -8.40957  6.7472 6.53989    -0.418101   0.00646862
1.23391    1.54498 -8.35383 6.73949 6.55652    -0.413825   0.00607873
1.23391    1.55095 -8.28781 6.73546 6.57318    -0.409783   0.00545618
1.23391    1.55674 -8.22275 6.73581 6.59006    -0.406249   0.00476556
1.23391     1.5624 -8.16809 6.73779 6.60357    -0.403315   0.00365715
1.23391    1.56801 -8.13662 6.73967 6.61237    -0.401199   0.00257637
1.23391    1.57359 -8.13356 6.73814 6.61469    -0.399887   0.00126613
1.23391    1.57919 -8.15742 6.73553 6.61021    -0.399943  4.11945e-05
1.23391    1.58486 -8.19944 6.72864 6.60054    -0.401301 -0.000963715
1.23391    1.59064 -8.24816 6.73017 6.58814    -0.403195  -0.00186645
1.23391    1.59661 -8.30061 6.72601 6.57416    -0.405668  -0.00275874
1.23391    1.60284 -8.35676 6.73588 6.55844    -0.408421  -0.00333324
1.23391    1.60942 -8.41665 6.74169 6.54122    -0.412078  -0.00388788
1.23391    1.61647 -8.48033 6.75135  6.5226    -0.416605  -0.00432057
1.23391    1.62413 -8.54652 6.77491 6.50287    -0.422025  -0.00459876
1.23391    1.63259 -8.61357 6.79478 6.48233    -0.427897  -0.00483456
1.23391    1.64205 -8.68431 6.83601 6.46092     -0.43465  -0.00485056
1.23391    1.65277 -8.75877 6.87515 6.43927    -0.442575  -0.00481557
1.23391    1.66503 -8.84296 6.94497 6.41698    -0.450782  -0.00467628
1.23391    1.67918 -8.94568 7.00961 6.39292    -0.458844   -0.0044327
1.23391    1.69561 -9.07026 7.14048 6.36878    -0.466451  -0.00393247
1.23391    1.71477 -9.21225 7.27768 6.34479    -0.473772  -0.00320246
1.23391    1.73717 -9.36591 7.44931 6.32075    -0.479717  -0.00211003
